T:91|TOM subgroup #91 order 8|P2|1,1,2,2,1,1,2,2,3,4,5,5,6,7,8,8,9,5,5,7,6,8,8,9,10,8,8,11,11,12,8,8,11,11,12,4,5,5,9,5,5,9,10,12,12
T:92|TOM subgroup #92 order 8|P2|1,2,2,3,3,4,5,5,6,7,7,7,7,1,1,1,8,9,9,10,3,3,2,11,10,9,3,2,3,11,9,2,3,2,11,2,2,3,11,5,5,6,4,6,6
T:93|TOM subgroup #93 order 8|P2|1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,5,4,7,6,9,8,10,3,8,9,6,7,10,9,8,7,6,10,3,4,5,10,5,4,10,3,10,10
T:97|TOM subgroup #97 order 8|P2|1,2,1,2,3,3,3,3,4,5,6,5,7,7,7,7,1,5,8,9,9,9,9,2,5,7,7,7,7,1,9,9,9,9,2,10,11,12,3,12,11,3,10,3,3
T:116|TOM subgroup #116 order 8|P2|1,1,2,2,1,2,2,1,3,4,5,6,7,8,9,10,2,6,5,10,9,8,7,2,4,9,10,7,8,1,8,7,10,9,1,6,5,4,2,4,5,1,6,1,2
T:119|TOM subgroup #119 order 8|P2|1,2,3,2,4,4,5,5,6,2,6,2,4,4,5,5,3,2,7,8,8,8,8,2,2,5,5,4,4,1,8,8,8,8,2,9,10,11,5,11,10,5,9,4,4
T:120|TOM subgroup #120 order 8|P2|1,1,2,2,3,3,3,3,4,5,6,7,8,8,9,9,2,7,6,9,9,8,8,2,5,9,9,8,8,1,8,8,9,9,1,10,11,12,3,12,11,3,10,3,3
T:122|TOM subgroup #122 order 8|P2|1,2,3,3,4,4,5,5,6,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,6,5,5,4,4,3,5,5,4,4,3,6,3,3,4,3,3,4,6,5,5
T:123|TOM subgroup #123 order 8|P2|1,1,1,1,2,2,2,2,3,4,5,4,6,7,6,7,2,4,5,7,6,7,6,2,4,6,7,6,7,2,7,6,7,6,2,4,5,4,1,4,5,1,4,1,1
T:126|TOM subgroup #126 order 8|P2|1,2,1,2,3,4,3,4,5,6,7,6,8,8,8,8,1,6,9,10,10,10,10,2,6,8,8,8,8,1,10,10,10,10,2,11,12,11,4,11,12,3,11,4,3
