1|false|true|[2,3,5,7,11,13]|[]|[[[1,2]],[[1,3]],[[1,4]],[[1,5]],[[2,3]],[[2,4]],[[2,5]],[[3,4]],[[3,5]],[[4,5]]]
2|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[2,3]],[[1,4],[2,4]],[[1,5],[2,5]],[[3,4]],[[3,5]],[[4,5]]]
2|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,4]],[[1,3],[1,5]],[[2,3],[4,5]],[[2,4]],[[2,5],[3,4]],[[3,5]]]
3|false|true|[2,3,5,7,11,13]|[3]|[[[1,2],[2,5],[1,5]],[[1,3],[2,3],[3,5]],[[1,4],[2,4],[4,5]],[[3,4]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,5],[1,4],[1,3]],[[2,3],[4,5]],[[2,4],[3,5]],[[2,5],[3,4]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,4],[1,3],[1,5]],[[2,3],[4,5],[3,4],[2,5]],[[2,4],[3,5]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3]],[[1,4],[1,5]],[[2,3]],[[2,4],[2,5],[3,4],[3,5]],[[4,5]]]
5|true|true|[2,3,5,7,11,13]|[5]|[[[1,2],[1,3],[3,4],[4,5],[2,5]],[[1,4],[3,5],[2,4],[1,5],[2,3]]]
6|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,5],[1,4]],[[2,3],[2,5],[2,4]],[[3,4],[3,5],[4,5]]]
6|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,5],[1,4],[2,3],[2,4],[2,5]],[[3,4],[3,5],[4,5]]]
6|false|true|[2,3,5,7,11,13]|[2,3]|[[[1,2],[1,4],[3,4],[2,3],[2,5],[4,5]],[[1,3],[3,5],[1,5]],[[2,4]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3],[1,4],[1,5]],[[2,3],[4,5]],[[2,4],[3,5],[2,5],[3,4]]]
10|true|true|[2,3,5,7,11,13]|[2]|[[[1,2],[2,3],[3,4],[4,5],[1,5]],[[1,3],[2,4],[3,5],[1,4],[2,5]]]
12|false|true|[2,3,5,7,11,13]|[3]|[[[1,2],[1,5],[1,3],[1,4]],[[2,3],[4,5],[2,4],[3,5],[2,5],[3,4]]]
12|false|false|[2]|[2]|[[[1,2],[2,3],[1,3]],[[1,4],[1,5],[2,4],[2,5],[3,4],[3,5]],[[4,5]]]
20|true|true|[2,3,5,7,11,13]|[2]|[[[1,2],[4,5],[2,3],[1,4],[3,5],[1,3],[2,5],[3,4],[1,5],[2,4]]]
24|false|false|[2]|[2]|[[[1,2],[1,3],[1,5],[1,4]],[[2,3],[4,5],[2,5],[3,4],[2,4],[3,5]]]
