n,s,s_over_n,shape,config
818,409,0.500000,S2,2x409
819,257,0.313797,S7f2,2x281 + 257* (q=2)
820,359,0.437805,S3,1x461 + 359* (q=179)
821,821,1.000000,S1,"AGL(1,821)"
822,383,0.465937,S3,1x439 + 383* (q=191)
823,823,1.000000,S1,"AGL(1,823)"
824,337,0.408981,S3,1x337 + 487* (q=3)
825,263,0.318788,S7f2,2x281 + 263* (q=131)
826,383,0.463680,S3,1x443 + 383* (q=191)
827,827,1.000000,S1,"AGL(1,827)"
828,361,0.435990,S3,1x361 + 467* (q=233)
829,829,1.000000,S1,"AGL(1,829)"
830,343,0.413253,S3,1x343 + 487* (q=3)
831,277,0.333333,S2,3x277
832,383,0.460337,S3,1x449 + 383* (q=191)
833,243,0.291717,S7f2,2x243 + 347* (q=173)
834,367,0.440048,S3,1x367 + 467* (q=233)
835,257,0.307784,S7f2,2x289 + 257* (q=2)
836,349,0.417464,S3,1x349 + 487* (q=3)
837,251,0.299881,S7f2,2x293 + 251* (q=5)
838,419,0.500000,S2,2x419
839,839,1.000000,S1,"AGL(1,839)"
840,383,0.455952,S3,1x457 + 383* (q=191)
841,841,1.000000,S1,"AGL(1,841)"
842,421,0.500000,S2,2x421
843,281,0.333333,S2,3x281
844,383,0.453791,S3,1x461 + 383* (q=191)
845,243,0.287574,S7f2,2x243 + 359* (q=179)
846,383,0.452719,S3,1x463 + 383* (q=191)
847,167,0.197166,S7f4,4x167 + 179* (q=89)
848,361,0.425708,S3,1x361 + 487* (q=3)
849,283,0.333333,S2,3x283
850,383,0.450588,S3,1x383 + 467* (q=233)
851,128,0.150411,S7f3,3x128 + 467* (q=233)
852,373,0.437793,S3,1x373 + 479* (q=239)
853,853,1.000000,S1,"AGL(1,853)"
854,367,0.429742,S3,1x367 + 487* (q=3)
855,169,0.197661,S7f4,4x169 + 179* (q=89)
856,389,0.454439,S3,1x389 + 467* (q=233)
857,857,1.000000,S1,"AGL(1,857)"
858,379,0.441725,S3,1x379 + 479* (q=239)
859,859,1.000000,S1,"AGL(1,859)"
860,373,0.433721,S3,1x373 + 487* (q=3)
861,257,0.298490,S7f2,2x257 + 347* (q=173)
862,431,0.500000,S2,2x431
863,863,1.000000,S1,"AGL(1,863)"
864,397,0.459491,S3,1x397 + 467* (q=233)
865,251,0.290173,S7f2,2x307 + 251* (q=5)
866,433,0.500000,S2,2x433
867,289,0.333333,S2,3x289
868,401,0.461982,S3,1x401 + 467* (q=233)
869,243,0.279632,S7f2,2x243 + 383* (q=191)
870,383,0.440230,S3,1x383 + 487* (q=3)
871,359,0.412170,S3,1x512 + 359* (q=179)
872,163,0.186927,S7f3,3x163 + 383* (q=191)
873,263,0.301260,S7f2,2x263 + 347* (q=173)
874,383,0.438215,S3,1x491 + 383* (q=191)
875,125,0.142857,S2,7x125
876,409,0.466895,S3,1x409 + 467* (q=233)
877,877,1.000000,S1,"AGL(1,877)"
878,439,0.500000,S2,2x439
879,293,0.333333,S2,3x293
880,401,0.455682,S3,1x401 + 479* (q=239)
881,881,1.000000,S1,"AGL(1,881)"
882,383,0.434240,S3,1x499 + 383* (q=191)
883,883,1.000000,S1,"AGL(1,883)"
884,397,0.449095,S3,1x397 + 487* (q=3)
885,269,0.303955,S7f2,2x269 + 347* (q=173)
886,443,0.500000,S2,2x443
887,887,1.000000,S1,"AGL(1,887)"
888,421,0.474099,S3,1x421 + 467* (q=233)
889,271,0.304837,S7f2,2x271 + 347* (q=173)
890,211,0.237079,S7f3,3x211 + 257* (q=2)
891,257,0.288440,S7f2,2x317 + 257* (q=2)
892,389,0.436099,S3,1x389 + 503* (q=251)
893,163,0.182531,S11,1x243 + 163* + 487* (q=3)
894,347,0.388143,S3,1x547 + 347* (q=173)
895,383,0.427933,S3,1x512 + 383* (q=191)
896,409,0.456473,S3,1x409 + 487* (q=3)
897,269,0.299889,S7f2,2x269 + 359* (q=179)
898,449,0.500000,S2,2x449
899,107,0.119021,S7f6,6x107 + 257* (q=2)
900,433,0.481111,S3,1x433 + 467* (q=233)
901,277,0.307436,S7f2,2x277 + 347* (q=173)
902,181,0.200665,S7f3,3x181 + 359* (q=179)
903,179,0.198228,S7f4,4x181 + 179* (q=89)
904,401,0.443584,S3,1x401 + 503* (q=251)
905,181,0.200000,S2,5x181
906,439,0.484547,S3,1x439 + 467* (q=233)
907,907,1.000000,S1,"AGL(1,907)"
908,421,0.463656,S3,1x421 + 487* (q=3)
909,281,0.309131,S7f2,2x281 + 347* (q=173)
910,443,0.486813,S3,1x443 + 467* (q=233)
911,911,1.000000,S1,"AGL(1,911)"
912,433,0.474781,S3,1x433 + 479* (q=239)
913,283,0.309967,S7f2,2x283 + 347* (q=173)
914,457,0.500000,S2,2x457
915,163,0.178142,S7f4,4x163 + 263* (q=131)
916,449,0.490175,S3,1x449 + 467* (q=233)
917,131,0.142857,S2,7x131
918,439,0.478214,S3,1x439 + 479* (q=239)
919,919,1.000000,S1,"AGL(1,919)"
920,433,0.470652,S3,1x433 + 487* (q=3)
921,307,0.333333,S2,3x307
922,461,0.500000,S2,2x461
923,109,0.118093,S7f4,4x109 + 487* (q=3)
924,457,0.494589,S3,1x457 + 467* (q=233)
925,289,0.312432,S7f2,2x289 + 347* (q=173)
926,463,0.500000,S2,2x463
927,169,0.182309,S7f4,4x169 + 251* (q=5)
928,461,0.496767,S3,1x461 + 467* (q=233)
929,929,1.000000,S1,"AGL(1,929)"
930,463,0.497849,S3,1x463 + 467* (q=233)
931,257,0.276047,S7f2,2x337 + 257* (q=2)
932,233,0.250000,S2,4x233
933,311,0.333333,S2,3x311
934,467,0.500000,S2,2x467
935,167,0.178610,S7f3,3x256 + 167* (q=83)
936,457,0.488248,S3,1x457 + 479* (q=239)
937,937,1.000000,S1,"AGL(1,937)"
938,229,0.244136,S7f3,3x229 + 251* (q=5)
939,313,0.333333,S2,3x313
940,461,0.490426,S3,1x461 + 479* (q=239)
941,941,1.000000,S1,"AGL(1,941)"
942,463,0.491507,S3,1x463 + 479* (q=239)
943,257,0.272534,S7f2,2x343 + 257* (q=2)
944,457,0.484110,S3,1x457 + 487* (q=3)
945,293,0.310053,S7f2,2x293 + 359* (q=179)
946,467,0.493658,S3,1x467 + 479* (q=239)
947,947,1.000000,S1,"AGL(1,947)"
948,461,0.486287,S3,1x461 + 487* (q=3)
949,283,0.298209,S7f2,2x283 + 383* (q=191)
950,463,0.487368,S3,1x463 + 487* (q=3)
951,317,0.333333,S2,3x317
952,449,0.471639,S3,1x449 + 503* (q=251)
953,953,1.000000,S1,"AGL(1,953)"
954,467,0.489518,S3,1x467 + 487* (q=3)
955,257,0.269110,S7f2,2x349 + 257* (q=2)
956,239,0.250000,S2,4x239
957,263,0.274817,S7f2,2x347 + 263* (q=131)
958,479,0.500000,S2,2x479
959,163,0.169969,S7f4,4x199 + 163* (q=3)
960,457,0.476042,S3,1x457 + 503* (q=251)
961,961,1.000000,S1,"AGL(1,961)"
962,243,0.252599,S3,1x243 + 719* (q=359)
963,257,0.266874,S7f2,2x353 + 257* (q=2)
964,461,0.478216,S3,1x461 + 503* (q=251)
965,243,0.251813,S7f2,2x243 + 479* (q=239)
966,479,0.495859,S3,1x479 + 487* (q=3)
967,967,1.000000,S1,"AGL(1,967)"
968,239,0.246901,S7f3,3x239 + 251* (q=5)
969,311,0.320949,S7f2,2x311 + 347* (q=173)
970,479,0.493814,S3,1x491 + 479* (q=239)
971,971,1.000000,S1,"AGL(1,971)"
972,409,0.420782,S3,1x409 + 563* (q=281)
973,313,0.321686,S7f2,2x313 + 347* (q=173)
974,487,0.500000,S2,2x487
975,257,0.263590,S7f2,2x359 + 257* (q=2)
976,467,0.478484,S3,1x509 + 467* (q=233)
977,977,1.000000,S1,"AGL(1,977)"
978,487,0.497955,S3,1x491 + 487* (q=3)
979,467,0.477017,S3,1x512 + 467* (q=233)
980,251,0.256122,S3,1x729 + 251* (q=5)
981,317,0.323140,S7f2,2x317 + 347* (q=173)
982,491,0.500000,S2,2x491
983,983,1.000000,S1,"AGL(1,983)"
984,421,0.427846,S3,1x421 + 563* (q=281)
985,313,0.317766,S7f2,2x313 + 359* (q=179)
986,487,0.493915,S3,1x499 + 487* (q=3)
987,181,0.183384,S7f4,4x181 + 263* (q=131)
988,479,0.484818,S3,1x509 + 479* (q=239)
989,251,0.253792,S7f2,2x251 + 487* (q=3)
990,487,0.491919,S3,1x487 + 503* (q=251)
991,991,1.000000,S1,"AGL(1,991)"
992,263,0.265121,S3,1x729 + 263* (q=131)
993,331,0.333333,S2,3x331
994,491,0.493964,S3,1x491 + 503* (q=251)
995,227,0.228141,S7f3,3x256 + 227* (q=113)
996,487,0.488956,S3,1x509 + 487* (q=3)
997,997,1.000000,S1,"AGL(1,997)"
998,499,0.500000,S2,2x499
999,487,0.487487,S3,1x512 + 487* (q=3)
1000,479,0.479000,S3,1x521 + 479* (q=239)
