n,C(n3),b3_census,delta3,witness
1799,968763299,230272,0.00023770,7x257 (m=1)
1800,970380600,307520,0.00031691,"1x961 + 1x839* (m=1, q=419, t=419)"
1802,973620600,129960,0.00013348,"3x361 + 1x719* (m=1, q=359, t=359)"
1803,975243301,360600,0.00036975,3x601 (m=1)
1804,976867804,371953,0.00038076,"1x941 + 1x863* (m=1, q=431, t=431)"
1805,978494110,216600,0.00022136,5x361 (m=1)
1806,980122220,311374,0.00031769,"1x967 + 1x839* (m=1, q=419, t=419)"
1807,981752135,158203,0.00016114,"4x311 + 1x563* (m=1, q=281, t=281)"
1808,983383856,179747,0.00018278,"1x769 + 1x1039* (m=1, q=173, t=173)"
1809,985017384,212060,0.00021529,"2x461 + 1x887* (m=1, q=443, t=443)"
1810,986652720,371953,0.00037698,"1x947 + 1x863* (m=1, q=431, t=431)"
1812,989928820,258121,0.00026075,"1x1093 + 1x719* (m=1, q=359, t=359)"
1813,991569586,199108,0.00020080,"2x547 + 1x719* (m=1, q=359, t=359)"
1814,993212164,547828,0.00055157,2x907 (m=1)
1815,994856555,158603,0.00015942,"2x509 + 1x797* (m=1, q=199, t=199)"
1816,996502760,392941,0.00039432,"1x929 + 1x887* (m=1, q=443, t=443)"
1817,998150780,150932,0.00015121,"2x389 + 1x1039* (m=1, q=173, t=173)"
1818,999800616,171991,0.00017203,"1x1231 + 1x587* (m=1, q=293, t=293)"
1819,1001452269,261632,0.00026125,"1x512 + 1x1307* (m=1, q=653, t=653)"
1820,1003105740,178852,0.00017830,"1x733 + 1x1087* (m=1, q=181, t=181)"
1821,1004761030,367842,0.00036610,3x607 (m=1)
1822,1006418140,829010,0.00082372,2x911 (m=1)
1824,1009737824,307520,0.00030455,"1x961 + 1x863* (m=1, q=431, t=431)"
1825,1011400400,171991,0.00017005,"2x619 + 1x587* (m=1, q=293, t=293)"
1826,1013064800,181794,0.00017945,"1x739 + 1x1087* (m=1, q=181, t=181)"
1827,1014731025,137419,0.00013542,"2x389 + 1x1049* (m=1, q=131, t=131)"
1828,1016399076,392941,0.00038660,"1x941 + 1x887* (m=1, q=443, t=443)"
1829,1018068954,136957,0.00013453,"2x461 + 1x907* (m=1, q=151, t=151)"
1830,1019740660,327030,0.00032070,"1x991 + 1x839* (m=1, q=419, t=419)"
1832,1023089560,149189,0.00014582,"3x353 + 1x773* (m=1, q=193, t=193)"
1833,1024766756,258121,0.00025188,"2x557 + 1x719* (m=1, q=359, t=359)"
1834,1026445784,392941,0.00038282,"1x947 + 1x887* (m=1, q=443, t=443)"
1835,1028126645,223870,0.00021775,5x367 (m=1)
1836,1029809340,331004,0.00032142,"1x997 + 1x839* (m=1, q=419, t=419)"
1837,1031493870,171991,0.00016674,"2x625 + 1x587* (m=1, q=293, t=293)"
1838,1033180236,562428,0.00054437,2x919 (m=1)
1839,1034868439,375156,0.00036252,3x613 (m=1)
1840,1036558480,392941,0.00037908,"1x953 + 1x887* (m=1, q=443, t=443)"
1841,1038250360,241171,0.00023229,7x263 (m=1)
1842,1039944080,258121,0.00024821,"1x1123 + 1x719* (m=1, q=359, t=359)"
1843,1041639641,158603,0.00015226,"2x523 + 1x797* (m=1, q=199, t=199)"
1844,1043337044,424120,0.00040650,4x461 (m=1)
1845,1045036290,258121,0.00024700,"2x563 + 1x719* (m=1, q=359, t=359)"
1846,1046737380,371953,0.00035535,"1x863 + 1x983* (m=1, q=491, t=491)"
1848,1050145096,339024,0.00032284,"1x1009 + 1x839* (m=1, q=419, t=419)"
1850,1053560200,179747,0.00017061,"1x811 + 1x1039* (m=1, q=173, t=173)"
1851,1055270525,570108,0.00054025,3x617 (m=1)
1852,1056982700,351541,0.00033259,"1x1013 + 1x839* (m=1, q=419, t=419)"
1853,1058696726,146306,0.00013819,"2x383 + 1x1087* (m=1, q=181, t=181)"
1854,1060412604,327030,0.00030840,"1x991 + 1x863* (m=1, q=431, t=431)"
