1|false|true|[2,3,5,7,11,13]|[]|[[[1,2]],[[1,3]],[[1,4]],[[1,5]],[[1,6]],[[2,3]],[[2,4]],[[2,5]],[[2,6]],[[3,4]],[[3,5]],[[3,6]],[[4,5]],[[4,6]],[[5,6]]]
2|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[2,3]],[[1,4],[2,4]],[[1,5],[2,5]],[[1,6],[2,6]],[[3,4]],[[3,5]],[[3,6]],[[4,5]],[[4,6]],[[5,6]]]
2|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[4,5]],[[1,3],[4,6]],[[1,4]],[[1,5],[2,4]],[[1,6],[3,4]],[[2,3],[5,6]],[[2,5]],[[2,6],[3,5]],[[3,6]]]
2|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[2,3]],[[1,4],[2,4]],[[1,5],[2,6]],[[1,6],[2,5]],[[3,4]],[[3,5],[3,6]],[[4,5],[4,6]],[[5,6]]]
3|false|true|[2,3,5,7,11,13]|[3]|[[[1,2],[2,6],[1,6]],[[1,3],[2,3],[3,6]],[[1,4],[2,4],[4,6]],[[1,5],[2,5],[5,6]],[[3,4]],[[3,5]],[[4,5]]]
3|false|true|[2,3,5,7,11,13]|[3]|[[[1,2],[3,4],[5,6]],[[1,3],[4,5],[2,6]],[[1,4],[4,6],[1,6]],[[1,5],[2,4],[3,6]],[[2,3],[3,5],[2,5]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[2,4],[1,4],[2,3]],[[1,5],[2,5],[1,6],[2,6]],[[3,4]],[[3,5],[4,5],[4,6],[3,6]],[[5,6]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,5],[1,4],[1,6]],[[2,3],[2,5],[2,4],[2,6]],[[3,4],[5,6]],[[3,5],[4,6]],[[3,6],[4,5]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,4],[3,6],[5,6]],[[1,3],[1,5],[4,6],[2,6]],[[1,6]],[[2,3],[4,5],[3,4],[2,5]],[[2,4],[3,5]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[2,4]],[[1,4],[2,3]],[[1,5],[2,5],[1,6],[2,6]],[[3,4]],[[3,5],[4,5],[3,6],[4,6]],[[5,6]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,5],[1,4],[1,6]],[[2,3],[2,5],[2,4],[2,6]],[[3,4],[5,6],[4,5],[3,6]],[[3,5],[4,6]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,4]],[[1,5],[1,6]],[[2,3],[2,4]],[[2,5],[2,6]],[[3,4]],[[3,5],[4,6],[3,6],[4,5]],[[5,6]]]
4|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,5],[2,4],[2,6]],[[1,4],[1,6],[2,3],[2,5]],[[3,4],[5,6]],[[3,5],[4,6]],[[3,6],[4,5]]]
5|false|true|[2,3,5,7,11,13]|[5]|[[[1,2],[1,3],[1,4],[1,5],[1,6]],[[2,3],[3,4],[4,5],[5,6],[2,6]],[[2,4],[3,5],[4,6],[2,5],[3,6]]]
6|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3]],[[1,4],[1,5],[1,6]],[[2,3]],[[2,4],[2,5],[2,6]],[[3,4],[3,5],[3,6]],[[4,5],[5,6],[4,6]]]
6|true|true|[2,3,5,7,11,13]|[2]|[[[1,2],[2,3],[1,3],[4,5],[4,6],[5,6]],[[1,4],[2,5],[3,6]],[[1,5],[2,6],[3,4]],[[1,6],[2,4],[3,5]]]
6|true|true|[2,3,5,7,11,13]|[2,3]|[[[1,2],[3,4],[5,6],[1,3],[4,5],[2,6]],[[1,4],[4,6],[1,6],[3,5],[2,5],[2,3]],[[1,5],[2,4],[3,6]]]
6|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3]],[[1,4],[1,6],[1,5]],[[2,3]],[[2,4],[2,6],[2,5],[3,4],[3,5],[3,6]],[[4,5],[4,6],[5,6]]]
6|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3],[2,3]],[[1,4],[3,6],[2,5]],[[1,5],[3,4],[2,6],[1,6],[2,4],[3,5]],[[4,5],[4,6],[5,6]]]
6|false|true|[2,3,5,7,11,13]|[2,3]|[[[1,2],[1,5]],[[1,3],[1,6],[1,4]],[[2,3],[2,6],[2,4],[4,5],[3,5],[5,6]],[[2,5]],[[3,4],[3,6],[4,6]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[2,4],[1,4],[2,3]],[[1,5],[2,5],[1,6],[2,6]],[[3,4]],[[3,5],[4,5],[3,6],[4,6]],[[5,6]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[3,4]],[[1,3],[2,4]],[[1,4],[2,3]],[[1,5],[3,5],[1,6],[3,6],[2,6],[4,6],[2,5],[4,5]],[[5,6]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,4],[2,5],[2,6]],[[1,5],[1,6],[2,4],[2,3]],[[3,4],[5,6]],[[3,5],[4,6],[4,5],[3,6]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[3,5]],[[1,3],[2,5],[2,3],[1,5]],[[1,4],[1,6],[2,4],[2,6],[3,4],[3,6],[4,5],[5,6]],[[4,6]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,4],[1,5],[1,6]],[[2,3],[2,4],[2,5],[2,6]],[[3,4],[5,6]],[[3,5],[4,6],[4,5],[3,6]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,6],[2,5]],[[3,4],[5,6]],[[3,5],[4,6],[3,6],[4,5]]]
8|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,6],[2,5]],[[3,4],[5,6]],[[3,5],[4,6],[4,5],[3,6]]]
9|false|true|[2,3,5,7,11,13]|[3]|[[[1,2],[2,3],[1,3]],[[1,4],[2,5],[3,6],[1,6],[2,4],[3,5],[1,5],[2,6],[3,4]],[[4,5],[5,6],[4,6]]]
10|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3],[1,4],[1,6],[1,5]],[[2,3],[3,4],[4,6],[5,6],[2,5]],[[2,4],[3,6],[4,5],[2,6],[3,5]]]
12|false|true|[2,3,5,7,11,13]|[3]|[[[1,2]],[[1,3],[1,4],[1,5],[1,6]],[[2,3],[2,4],[2,5],[2,6]],[[3,4],[5,6],[3,6],[4,5],[3,5],[4,6]]]
12|true|true|[2,3,5,7,11,13]|[3]|[[[1,2],[3,4],[5,6]],[[1,3],[1,4],[2,3],[2,4],[4,5],[4,6],[3,5],[3,6],[2,6],[1,6],[2,5],[1,5]]]
12|false|false|[2]|[2]|[[[1,2],[1,3],[1,4]],[[1,5],[1,6]],[[2,3],[3,4],[2,4]],[[2,5],[3,5],[4,5],[2,6],[3,6],[4,6]],[[5,6]]]
12|true|false|[2]|[2]|[[[1,2],[3,4],[5,6]],[[1,3],[3,5],[1,5],[2,6],[2,4],[4,6]],[[1,4],[3,6],[2,5],[1,6],[4,5],[2,3]]]
16|false|true|[2,3,5,7,11,13]|[2]|[[[1,2]],[[1,3],[1,4],[1,5],[1,6],[2,3],[2,4],[2,5],[2,6]],[[3,4],[5,6]],[[3,5],[4,6],[4,5],[3,6]]]
18|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3],[2,3]],[[1,4],[3,4],[2,4],[1,6],[3,6],[2,6],[1,5],[3,5],[2,5]],[[4,5],[4,6],[5,6]]]
18|true|true|[2,3,5,7,11,13]|[2]|[[[1,2],[2,3],[1,3],[4,5],[4,6],[5,6]],[[1,4],[2,5],[3,6],[1,6],[2,4],[3,5],[1,5],[2,6],[3,4]]]
18|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[2,3],[1,3]],[[1,4],[2,5],[3,6],[1,5],[2,6],[3,4],[1,6],[2,4],[3,5]],[[4,5],[5,6],[4,6]]]
20|false|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3],[1,4],[1,5],[1,6]],[[2,3],[3,4],[4,5],[5,6],[2,6],[2,5],[3,5],[3,6],[4,6],[2,4]]]
24|true|true|[2,3,5,7,11,13]|[3]|[[[1,2],[5,6],[3,4]],[[1,3],[2,4],[1,4],[2,3],[2,5],[1,6],[1,5],[2,6],[4,6],[3,5],[4,5],[3,6]]]
24|false|true|[2,3,5,7,11,13]|[3]|[[[1,2],[3,4],[1,4],[2,3],[1,3],[2,4]],[[1,5],[1,6],[2,5],[2,6],[4,5],[4,6],[3,5],[3,6]],[[5,6]]]
24|false|false|[2]|[2]|[[[1,2]],[[1,3],[1,6],[1,4],[1,5],[2,3],[2,5],[2,4],[2,6]],[[3,4],[5,6],[3,5],[4,6],[3,6],[4,5]]]
24|true|false|[2]|[2]|[[[1,2],[5,6],[3,4]],[[1,3],[2,3],[1,4],[2,4],[2,6],[2,5],[1,6],[1,5],[4,5],[3,5],[4,6],[3,6]]]
24|true|false|[2]|[2]|[[[1,2],[5,6],[3,4]],[[1,3],[1,4],[2,3],[2,4],[2,6],[1,6],[2,5],[1,5],[4,5],[4,6],[3,5],[3,6]]]
24|false|false|[2]|[2]|[[[1,2]],[[1,3],[1,6],[1,4],[1,5]],[[2,3],[2,6],[2,4],[2,5]],[[3,4],[5,6],[3,5],[4,6],[3,6],[4,5]]]
36|false|false|[2]|[2]|[[[1,2],[2,3],[1,3]],[[1,4],[1,6],[1,5],[2,4],[2,6],[2,5],[3,4],[3,6],[3,5]],[[4,5],[4,6],[5,6]]]
36|true|false|[2]|[2]|[[[1,2],[1,3],[2,3],[4,5],[5,6],[4,6]],[[1,4],[3,5],[2,6],[1,6],[3,4],[2,5],[1,5],[3,6],[2,4]]]
36|true|true|[2,3,5,7,11,13]|[2]|[[[1,2],[1,3],[2,3],[4,6],[4,5],[5,6]],[[1,4],[3,4],[2,4],[1,5],[3,5],[2,5],[1,6],[3,6],[2,6]]]
48|true|false|[2]|[2]|[[[1,2],[5,6],[3,4]],[[1,3],[1,4],[2,3],[2,4],[1,5],[2,5],[1,6],[2,6],[3,5],[3,6],[4,5],[4,6]]]
48|false|false|[2]|[2]|[[[1,2],[3,4],[1,4],[2,3],[1,3],[2,4]],[[1,5],[1,6],[4,5],[4,6],[2,5],[2,6],[3,5],[3,6]],[[5,6]]]
72|true|false|[2]|[2]|[[[1,2],[2,3],[1,3],[4,5],[5,6],[4,6]],[[1,4],[2,5],[3,6],[1,6],[2,4],[3,5],[1,5],[2,6],[3,4]]]
