n,C(n2),mu_bound,density,parts,certified_K,partcap,certified,fallback,witness
87,3741,1218,0.325581,1,2,1,1,0,"p=29 q=2: 3x29"
88,3828,820,0.214211,2,3,2,1,0,"p=41 q=23: 1x47* + 1x41   (* foreign)"
90,4005,903,0.225468,2,3,2,1,0,"p=43 q=23: 1x47* + 1x43   (* foreign)"
91,4095,546,0.133333,1,3,2,1,0,"p=13 q=2: 7x13"
92,4186,1012,0.241758,1,3,2,1,0,"p=23 q=2: 4x23"
93,4278,1395,0.326087,1,2,1,1,0,"p=31 q=2: 3x31"
94,4371,2162,0.494624,1,2,1,1,0,"p=47 q=2: 2x47"
95,4465,855,0.191489,1,3,2,1,0,"p=19 q=2: 5x19"
96,4560,1488,0.326316,1,2,1,1,0,"p=2 q=2: 3x32"
98,4753,2352,0.494845,1,2,1,1,0,"p=7 q=2: 2x49"
99,4851,506,0.104308,2,4,3,1,0,"p=23 q=13: 1x53* + 2x23   (* foreign)"
100,4950,1200,0.242424,1,3,2,1,0,"p=5 q=2: 4x25"
102,5151,903,0.175306,2,3,2,1,0,"p=43 q=29: 1x59* + 1x43   (* foreign)"
104,5356,666,0.124347,2,3,2,1,0,"p=37 q=11: 1x67* + 1x37   (* foreign)"
105,5460,812,0.148718,2,3,2,1,0,"p=29 q=23: 2x29 + 1x47*   (* foreign)"
106,5565,2756,0.495238,1,2,1,1,0,"p=53 q=2: 2x53"
108,5778,1404,0.242991,1,3,2,1,0,"p=3 q=2: 4x27"
110,5995,737,0.122936,2,3,2,1,0,"p=43 q=11: 1x67* + 1x43   (* foreign)"
111,6105,1998,0.327273,1,2,1,1,0,"p=37 q=2: 3x37"
112,6216,1378,0.221686,2,3,2,1,0,"p=53 q=29: 1x59* + 1x53   (* foreign)"
114,6441,1081,0.167831,2,3,2,1,0,"p=67 q=23: 1x67 + 1x47*   (* foreign)"
115,6555,1265,0.192982,1,3,2,1,0,"p=23 q=2: 5x23"
116,6670,1624,0.243478,1,3,2,1,0,"p=29 q=2: 4x29"
117,6786,812,0.119658,2,3,2,1,0,"p=29 q=29: 1x59* + 2x29   (* foreign)"
118,6903,3422,0.495726,1,2,1,1,0,"p=59 q=2: 2x59"
119,7021,952,0.135593,1,3,2,1,0,"p=17 q=2: 7x17"
120,7140,1711,0.239636,2,3,2,1,0,"p=61 q=29: 1x61 + 1x59*   (* foreign)"
122,7381,3660,0.495868,1,2,1,1,0,"p=61 q=2: 2x61"
123,7503,2460,0.327869,1,2,1,1,0,"p=41 q=2: 3x41"
124,7626,1860,0.243902,1,3,2,1,0,"p=31 q=2: 4x31"
126,7875,1711,0.217270,2,3,2,1,0,"p=67 q=29: 1x67 + 1x59*   (* foreign)"
129,8256,2709,0.328125,1,2,1,1,0,"p=43 q=2: 3x43"
130,8385,1711,0.204055,2,3,2,1,0,"p=71 q=29: 1x71 + 1x59*   (* foreign)"
132,8646,1711,0.197895,2,3,2,1,0,"p=73 q=29: 1x73 + 1x59*   (* foreign)"
133,8778,1332,0.151743,2,3,2,1,0,"p=37 q=29: 2x37 + 1x59*   (* foreign)"
134,8911,4422,0.496241,1,2,1,1,0,"p=67 q=2: 2x67"
135,9045,1755,0.194030,1,3,2,1,0,"p=3 q=2: 5x27"
136,9180,1378,0.150109,2,3,2,1,0,"p=53 q=41: 1x83* + 1x53   (* foreign)"
138,9453,1711,0.181001,2,3,2,1,0,"p=79 q=29: 1x79 + 1x59*   (* foreign)"
140,9730,1711,0.175848,2,3,2,1,0,"p=3 q=29: 1x81 + 1x59*   (* foreign)"
141,9870,3243,0.328571,1,2,1,1,0,"p=47 q=2: 3x47"
142,10011,4970,0.496454,1,2,1,1,0,"p=71 q=2: 2x71"
143,10153,1081,0.106471,2,4,3,1,0,"p=2 q=23: 3x32 + 1x47*   (* foreign)"
144,10296,1830,0.177739,2,3,2,1,0,"p=61 q=41: 1x83* + 1x61   (* foreign)"
145,10440,2030,0.194444,1,3,2,1,0,"p=29 q=2: 5x29"
146,10585,5256,0.496552,1,2,1,1,0,"p=73 q=2: 2x73"
147,10731,3528,0.328767,1,2,1,1,0,"p=7 q=2: 3x49"
148,10878,2664,0.244898,1,3,2,1,0,"p=37 q=2: 4x37"
150,11175,2211,0.197852,2,3,2,1,0,"p=67 q=41: 1x83* + 1x67   (* foreign)"
152,11476,1395,0.121558,2,3,2,1,0,"p=31 q=29: 3x31 + 1x59*   (* foreign)"
153,11628,1711,0.147145,2,3,2,1,0,"p=47 q=29: 2x47 + 1x59*   (* foreign)"
154,11781,2485,0.210933,2,3,2,1,0,"p=71 q=41: 1x83* + 1x71   (* foreign)"
155,11935,2325,0.194805,1,3,2,1,0,"p=31 q=2: 5x31"
156,12090,2628,0.217370,2,3,2,1,0,"p=73 q=41: 1x83* + 1x73   (* foreign)"
158,12403,6162,0.496815,1,2,1,1,0,"p=79 q=2: 2x79"
159,12561,4134,0.329114,1,2,1,1,0,"p=53 q=2: 3x53"
160,12720,2480,0.194969,1,3,2,1,0,"p=2 q=2: 5x32"
161,12880,1771,0.137500,1,3,2,1,0,"p=23 q=2: 7x23"
162,13041,6480,0.496894,1,2,1,1,0,"p=3 q=2: 2x81"
164,13366,3280,0.245399,1,3,2,1,0,"p=41 q=2: 4x41"
165,13530,2016,0.149002,2,3,2,1,0,"p=2 q=5: 1x101* + 1x64   (* foreign)"
166,13695,6806,0.496970,1,2,1,1,0,"p=83 q=2: 2x83"
168,14028,2211,0.157613,2,3,2,1,0,"p=67 q=5: 1x101* + 1x67   (* foreign)"
170,14365,1830,0.127393,2,3,2,1,0,"p=61 q=3: 1x109* + 1x61   (* foreign)"
171,14535,2016,0.138700,2,3,2,1,0,"p=2 q=53: 1x107* + 1x64   (* foreign)"
172,14706,3612,0.245614,1,3,2,1,0,"p=43 q=2: 4x43"
174,15051,2525,0.167763,2,3,2,1,0,"p=73 q=5: 1x101* + 1x73   (* foreign)"
175,15225,2100,0.137931,1,3,2,1,0,"p=5 q=2: 7x25"
176,15400,2211,0.143571,2,3,2,1,0,"p=67 q=3: 1x109* + 1x67   (* foreign)"
177,15576,5133,0.329545,1,2,1,1,0,"p=59 q=2: 3x59"
178,15753,7832,0.497175,1,2,1,1,0,"p=89 q=2: 2x89"
180,16110,3403,0.211235,2,3,2,1,0,"p=97 q=41: 1x97 + 1x83*   (* foreign)"
182,16471,2628,0.159553,2,3,2,1,0,"p=73 q=3: 1x109* + 1x73   (* foreign)"
183,16653,5490,0.329670,1,2,1,1,0,"p=61 q=2: 3x61"
184,16836,3403,0.202126,2,3,2,1,0,"p=101 q=41: 1x101 + 1x83*   (* foreign)"
185,17020,3330,0.195652,1,3,2,1,0,"p=37 q=2: 5x37"
186,17205,3403,0.197791,2,3,2,1,0,"p=103 q=41: 1x103 + 1x83*   (* foreign)"
187,17391,1806,0.103847,2,4,3,1,0,"p=43 q=5: 1x101* + 2x43   (* foreign)"
188,17578,4324,0.245989,1,3,2,1,0,"p=47 q=2: 4x47"
189,17766,2756,0.155128,2,3,2,1,0,"p=53 q=41: 2x53 + 1x83*   (* foreign)"
190,17955,3403,0.189529,2,3,2,1,0,"p=83 q=53: 1x107* + 1x83   (* foreign)"
192,18336,6048,0.329843,1,2,1,1,0,"p=2 q=2: 3x64"
194,18721,9312,0.497409,1,2,1,1,0,"p=97 q=2: 2x97"
195,18915,2162,0.114301,2,3,2,1,0,"p=47 q=5: 1x101* + 2x47   (* foreign)"
196,19110,4704,0.246154,1,3,2,1,0,"p=7 q=2: 4x49"
198,19503,2943,0.150900,2,3,2,1,0,"p=89 q=3: 1x109* + 1x89   (* foreign)"
200,19900,2400,0.120603,1,3,2,1,0,"p=5 q=2: 8x25"
201,20100,6633,0.330000,1,2,1,1,0,"p=67 q=2: 3x67"
202,20301,10100,0.497512,1,2,1,1,0,"p=101 q=2: 2x101"
203,20503,2842,0.138614,1,3,2,1,0,"p=29 q=2: 7x29"
204,20706,4656,0.224862,2,3,2,1,0,"p=97 q=53: 1x107* + 1x97   (* foreign)"
205,20910,4100,0.196078,1,3,2,1,0,"p=41 q=2: 5x41"
206,21115,10506,0.497561,1,2,1,1,0,"p=103 q=2: 2x103"
207,21321,2525,0.118428,2,3,2,1,0,"p=53 q=5: 2x53 + 1x101*   (* foreign)"
208,21528,5050,0.234578,2,3,2,1,0,"p=101 q=53: 1x107* + 1x101   (* foreign)"
209,21736,1881,0.086538,1,4,3,1,0,"p=19 q=2: 11x19"
210,21945,5253,0.239371,2,3,2,1,0,"p=103 q=53: 1x107* + 1x103   (* foreign)"
212,22366,5512,0.246445,1,3,2,1,0,"p=53 q=2: 4x53"
213,22578,7455,0.330189,1,2,1,1,0,"p=71 q=2: 3x71"
214,22791,11342,0.497653,1,2,1,1,0,"p=107 q=2: 2x107"
215,23005,4515,0.196262,1,3,2,1,0,"p=43 q=2: 5x43"
216,23220,5671,0.244229,2,3,2,1,0,"p=109 q=53: 1x109 + 1x107*   (* foreign)"
217,23436,3403,0.145204,2,3,2,1,0,"p=67 q=41: 2x67 + 1x83*   (* foreign)"
218,23653,11772,0.497696,1,2,1,1,0,"p=109 q=2: 2x109"
219,23871,7884,0.330275,1,2,1,1,0,"p=73 q=2: 3x73"
220,24090,5671,0.235409,2,3,2,1,0,"p=113 q=53: 1x113 + 1x107*   (* foreign)"
221,24310,2016,0.082929,2,4,3,1,0,"p=2 q=13: 1x157* + 1x64   (* foreign)"
222,24531,3996,0.162896,1,3,2,1,0,"p=37 q=2: 6x37"
224,24976,3472,0.139013,1,3,2,1,0,"p=2 q=2: 7x32"
225,25200,3422,0.135794,2,3,2,1,0,"p=59 q=53: 2x59 + 1x107*   (* foreign)"
226,25425,12656,0.497778,1,2,1,1,0,"p=113 q=2: 2x113"
228,25878,5671,0.219144,2,3,2,1,0,"p=11 q=53: 1x121 + 1x107*   (* foreign)"
230,26335,3403,0.129220,2,3,2,1,0,"p=7 q=41: 3x49 + 1x83*   (* foreign)"
231,26565,2943,0.110785,2,4,3,1,0,"p=61 q=3: 2x61 + 1x109*   (* foreign)"
232,26796,5671,0.211636,2,3,2,1,0,"p=5 q=53: 1x125 + 1x107*   (* foreign)"
234,27261,5671,0.208026,2,3,2,1,0,"p=127 q=53: 1x127 + 1x107*   (* foreign)"
235,27495,5671,0.206256,2,3,2,1,0,"p=2 q=53: 1x128 + 1x107*   (* foreign)"
236,27730,6844,0.246809,1,3,2,1,0,"p=59 q=2: 4x59"
237,27966,9243,0.330508,1,2,1,1,0,"p=79 q=2: 3x79"
238,28203,5671,0.201078,2,3,2,1,0,"p=131 q=53: 1x131 + 1x107*   (* foreign)"
240,28680,3775,0.131625,2,3,2,1,0,"p=89 q=5: 1x151* + 1x89   (* foreign)"
242,29161,14520,0.497925,1,2,1,1,0,"p=11 q=2: 2x121"
244,29646,7320,0.246914,1,3,2,1,0,"p=61 q=2: 4x61"
245,29890,5880,0.196721,1,3,2,1,0,"p=7 q=2: 5x49"
246,30135,5671,0.188186,2,3,2,1,0,"p=139 q=53: 1x139 + 1x107*   (* foreign)"
247,30381,3280,0.107962,2,4,3,1,0,"p=41 q=41: 4x41 + 1x83*   (* foreign)"
248,30628,3775,0.123253,2,3,2,1,0,"p=97 q=5: 1x151* + 1x97   (* foreign)"
249,30876,10209,0.330645,1,2,1,1,0,"p=83 q=2: 3x83"
250,31125,15500,0.497992,1,2,1,1,0,"p=5 q=2: 2x125"
252,31626,5253,0.166098,2,3,2,1,0,"p=103 q=37: 1x149* + 1x103   (* foreign)"
253,31878,5256,0.164879,2,3,2,1,0,"p=73 q=53: 2x73 + 1x107*   (* foreign)"
254,32131,16002,0.498024,1,2,1,1,0,"p=127 q=2: 2x127"
255,32385,3403,0.105080,2,4,3,1,0,"p=43 q=41: 4x43 + 1x83*   (* foreign)"
258,33153,5671,0.171055,2,3,2,1,0,"p=151 q=53: 1x151 + 1x107*   (* foreign)"
259,33411,4662,0.139535,1,3,2,1,0,"p=37 q=2: 7x37"
260,33670,4656,0.138283,2,3,2,1,0,"p=97 q=3: 1x163* + 1x97   (* foreign)"
261,33930,3654,0.107692,1,4,3,1,0,"p=29 q=2: 9x29"
262,34191,17030,0.498084,1,2,1,1,0,"p=131 q=2: 2x131"
264,34716,5671,0.163354,2,3,2,1,0,"p=157 q=53: 1x157 + 1x107*   (* foreign)"
265,34980,6890,0.196970,1,3,2,1,0,"p=53 q=2: 5x53"
266,35245,5253,0.149042,2,3,2,1,0,"p=103 q=3: 1x163* + 1x103   (* foreign)"
267,35511,11748,0.330827,1,2,1,1,0,"p=89 q=2: 3x89"
268,35778,8844,0.247191,1,3,2,1,0,"p=67 q=2: 4x67"
270,36315,5671,0.156161,2,3,2,1,0,"p=107 q=3: 1x163* + 1x107   (* foreign)"
272,36856,5886,0.159703,2,3,2,1,0,"p=109 q=3: 1x163* + 1x109   (* foreign)"
273,37128,5671,0.152742,2,3,2,1,0,"p=83 q=53: 2x83 + 1x107*   (* foreign)"
274,37401,18632,0.498168,1,2,1,1,0,"p=137 q=2: 2x137"
275,37675,3403,0.090325,2,4,3,1,0,"p=2 q=41: 3x64 + 1x83*   (* foreign)"
276,37950,6328,0.166746,2,3,2,1,0,"p=113 q=3: 1x163* + 1x113   (* foreign)"
278,38503,19182,0.498195,1,2,1,1,0,"p=139 q=2: 2x139"
279,38781,4185,0.107914,1,4,3,1,0,"p=31 q=2: 9x31"
280,39060,6328,0.162007,2,3,2,1,0,"p=113 q=83: 1x167* + 1x113   (* foreign)"
282,39621,6486,0.163701,1,3,2,1,0,"p=47 q=2: 6x47"
284,40186,9940,0.247350,1,3,2,1,0,"p=71 q=2: 4x71"
285,40470,5671,0.140128,2,3,2,1,0,"p=89 q=53: 2x89 + 1x107*   (* foreign)"
286,40755,6328,0.155269,2,3,2,1,0,"p=113 q=43: 1x173* + 1x113   (* foreign)"
287,41041,5740,0.139860,1,3,2,1,0,"p=41 q=2: 7x41"
